geo,geo_label,year,value
DE,DE,2021,10.56
DE,DE,2023,11.55
DE,DE,2024,19.75
DE,DE,2025,25.97
ES,ES (Espa単a),2021,7.67
ES,ES (Espa単a),2023,9.18
ES,ES (Espa単a),2024,11.31
ES,ES (Espa単a),2025,20.27
EU27_2020,EU27_2020 (UE-27),2021,7.65
EU27_2020,EU27_2020 (UE-27),2023,8.06
EU27_2020,EU27_2020 (UE-27),2024,13.48
EU27_2020,EU27_2020 (UE-27),2025,19.95
FR,FR,2021,6.67
FR,FR,2023,5.88
FR,FR,2024,9.91
FR,FR,2025,18.16
IT,IT,2021,6.17
IT,IT,2023,5.05
IT,IT,2024,8.2
IT,IT,2025,16.4
NL,NL,2021,13.1
NL,NL,2023,14.1
NL,NL,2024,23.06
NL,NL,2025,33.21
PT,PT,2021,7.2
PT,PT,2023,7.86
PT,PT,2024,8.63
PT,PT,2025,11.54
