geo,geo_label,year,value,rank
AT,AT,2021,8.83,11
AT,AT,2023,10.79,9
AT,AT,2024,20.27,9
AT,AT,2025,29.95,7
BE,BE,2021,10.32,8
BE,BE,2023,13.81,5
BE,BE,2024,24.71,3
BE,BE,2025,34.54,4
DE,DE,2021,10.56,7
DE,DE,2023,11.55,7
DE,DE,2024,19.75,10
DE,DE,2025,25.97,9
DK,DK,2021,23.89,1
DK,DK,2023,15.17,1
DK,DK,2024,27.58,1
DK,DK,2025,42.03,1
EA,EA,2021,8.36,13
EA,EA,2023,8.84,13
EA,EA,2024,14.39,13
EA,EA,2025,21.37,13
EE,EE,2021,2.77,29
EE,EE,2023,5.19,24
EE,EE,2024,13.89,14
EE,EE,2025,23.4,10
ES,ES (Espa単a),2021,7.67,15
ES,ES (Espa単a),2023,9.18,11
ES,ES (Espa単a),2024,11.31,17
ES,ES (Espa単a),2025,20.27,15
EU27_2020,EU27_2020 (UE-27),2021,7.65,16
EU27_2020,EU27_2020 (UE-27),2023,8.06,14
EU27_2020,EU27_2020 (UE-27),2024,13.48,15
EU27_2020,EU27_2020 (UE-27),2025,19.95,16
FI,FI,2021,15.79,2
FI,FI,2023,15.1,2
FI,FI,2024,24.37,4
FI,FI,2025,37.82,2
FR,FR,2021,6.67,18
FR,FR,2023,5.88,20
FR,FR,2024,9.91,20
FR,FR,2025,18.16,18
IT,IT,2021,6.17,19
IT,IT,2023,5.05,25
IT,IT,2024,8.2,25
IT,IT,2025,16.4,21
LT,LT,2021,4.45,22
LT,LT,2023,4.86,26
LT,LT,2024,8.76,23
LT,LT,2025,21.3,14
LU,LU,2021,13.0,4
LU,LU,2023,14.45,3
LU,LU,2024,23.73,5
LU,LU,2025,33.61,5
MT,MT,2021,10.16,9
MT,MT,2023,13.17,6
MT,MT,2024,17.3,11
MT,MT,2025,21.56,12
NL,NL,2021,13.1,3
NL,NL,2023,14.1,4
NL,NL,2024,23.06,6
NL,NL,2025,33.21,6
NO,NO,2021,10.82,6
NO,NO,2023,9.17,12
NO,NO,2024,20.77,8
NO,NO,2025,28.89,8
PT,PT,2021,7.2,17
PT,PT,2023,7.86,17
PT,PT,2024,8.63,24
PT,PT,2025,11.54,24
SE,SE,2021,9.92,10
SE,SE,2023,10.37,10
SE,SE,2024,25.09,2
SE,SE,2025,35.04,3
SI,SI,2021,11.73,5
SI,SI,2023,11.37,8
SI,SI,2024,20.89,7
SI,SI,2025,21.61,11
